ISRC,UPC,Track,Primary Artist,Channel,Configuration,Territory,Units Sold,Net Royalty
USRC12345001,886443012345,Midnight Dreams,Luna Rivers,Streaming,Premium,US,210482,418.55
USRC12345001,886443012345,Midnight Dreams,Luna Rivers,Streaming,Premium,UK,42018,72.40
USRC12345001,886443012345,Midnight Dreams,Luna Rivers,Download,FLAC,US,182,128.40
USRC12345002,886443012346,Electric Pulse,The Neon Collective,Streaming,Premium,US,358211,712.30
USRC12345002,886443012346,Electric Pulse,The Neon Collective,Streaming,Ad-supported,US,98042,82.18
USRC12345002,886443012346,Electric Pulse,The Neon Collective,Sync,TV Placement,US,1,1500.00
USRC12345003,886443012347,Golden Hour,Maya Sol,Streaming,Premium,US,245182,512.71
USRC12345003,886443012347,Golden Hour,Maya Sol,Streaming,Premium,EU,118021,242.50
USRC12345003,886443012347,Golden Hour,Maya Sol,Download,MP3,US,415,498.00
USRC12345004,886443012348,City Lights,Urban Echo,Streaming,Premium,US,178420,342.55
USRC12345004,886443012348,City Lights,Urban Echo,Streaming,Premium,JP,32045,68.18
USRC12345005,886443012349,Waves of Tomorrow,Oceanic Soundscape,Streaming,Premium,US,98214,182.40
USRC12345005,886443012349,Waves of Tomorrow,Oceanic Soundscape,Sync,Film Trailer,US,1,2500.00
USRC12399010,886443012350,B-Side Sessions,Various Artists,Streaming,Premium,US,4218,12.10
USRC12399011,886443012351,Holiday Special 2025,Various Artists,Download,MP3,US,82,98.40
