ISRC,HFA Song Code,Song Title,Performer,Service,Streams,Royalty Amount
USRC12345001,T1234567,Midnight Dreams,Luna Rivers,Spotify,210482,168.55
USRC12345001,T1234567,Midnight Dreams,Luna Rivers,Apple Music,98745,212.18
USRC12345001,T1234567,Midnight Dreams,Luna Rivers,Amazon Music,42018,52.40
USRC12345002,T1234568,Electric Pulse,The Neon Collective,Spotify,358211,272.30
USRC12345002,T1234568,Electric Pulse,The Neon Collective,Apple Music,168042,318.55
USRC12345002,T1234568,Electric Pulse,The Neon Collective,Tidal,9105,28.18
USRC12345003,T1234569,Golden Hour,Maya Sol,Spotify,245182,182.71
USRC12345003,T1234569,Golden Hour,Maya Sol,Apple Music,118021,242.50
USRC12345003,T1234569,Golden Hour,Maya Sol,YouTube Music,55204,68.30
USRC12345004,T1234570,City Lights,Urban Echo,Spotify,178420,142.55
USRC12345004,T1234570,City Lights,Urban Echo,Apple Music,82045,168.18
USRC12345005,T1234571,Waves of Tomorrow,Oceanic Soundscape,Spotify,98214,82.40
USRC12345005,T1234571,Waves of Tomorrow,Oceanic Soundscape,Apple Music,42082,98.55
USRC12399002,T9999999,Mystery B-Side,Unknown Artist,Spotify,4218,2.10
USRC12399003,T9999998,Bonus Track 2025,Unknown Artist,Spotify,512,0.42
