BMI Work#,Work Title,Affiliated Writer,Source,Survey Type,Performance Count,Current Activity Royalty
14728301,Midnight Dreams,DEMO SONGWRITER,Pandora,Digital Audio,1842,412.55
14728301,Midnight Dreams,DEMO SONGWRITER,SiriusXM,Satellite Radio,920,87.30
14829112,Electric Pulse,DEMO SONGWRITER,Pandora,Digital Audio,3104,694.18
14829112,Electric Pulse,DEMO SONGWRITER,iHeartRadio,Terrestrial Radio,275,38.42
14829112,Electric Pulse,DEMO SONGWRITER,SiriusXM,Satellite Radio,1411,134.02
14930001,Golden Hour,DEMO SONGWRITER,Pandora,Digital Audio,2208,492.71
14930001,Golden Hour,DEMO SONGWRITER,Spotify (Pub Side),Digital Audio,5210,18.05
15021443,City Lights,DEMO SONGWRITER,Pandora,Digital Audio,1455,322.61
15021443,City Lights,DEMO SONGWRITER,WBLS-FM (NY),Terrestrial Radio,12,11.40
15129908,Waves of Tomorrow,DEMO SONGWRITER,Pandora,Digital Audio,803,179.88
15129908,Waves of Tomorrow,DEMO SONGWRITER,SiriusXM,Satellite Radio,605,57.32
15234100,Unmatched B-Side,UNKNOWN WRITER,Pandora,Digital Audio,42,4.18
